ts_code,fund_name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,C_flg
011938.OF,博时新能源汽车A,博时基金,浙商银行,混合型,20210602,,,20210419,,1.357,1.2,0.2,,1.0,0.001,,中证新能源汽车指数收益率*70%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20210817,20210817,O,0
012196.OF,招商品质生活A,招商基金,交通银行,混合型,20210602,,,20210517,,27.3144,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*60%+中债综合(全价)指数收益率*30%+恒生综合指数收益率(经汇率调整后)*10%,L,混合型,契约型开放式,,20210802,20210802,O,0
011545.OF,长江沪深300指数增强A,长江资管,浙商银行,股票型,20210602,,,20210510,,2.195,1.0,0.2,,1.0,0.001,,沪深300指数收益率*95%+商业银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20210702,20210702,O,0
011886.OF,弘毅远方高端制造A,弘毅远方基金,广发证券,混合型,20210601,,,20210512,,0.733,1.2,0.2,,1.0,0.001,,中证高端装备制造指数收益率*65%+中债综合全价(总值)指数收益率*30%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20210810,20210810,O,0
011498.OF,富国沪深300基本面精选A,富国基金,交通银行,股票型,20210601,,,20210517,,7.3618,1.2,0.2,,1.0,0.001,,沪深300全收益指数收益率*80%+恒生指数收益率(使用汇率估值折算)*10%+中债综合全价指数收益率*10%,L,股票型,契约型开放式,,20210618,20210618,O,0
012124.OF,博道盛彦A,博道基金,中国邮政储蓄银行,混合型,20210601,,,20210518,,5.6496,1.5,0.1,,1.0,0.001,,中证800指数收益率*60%+中债综合全价(总值)指数收益率*25%+中证港股通综合指数(人民币)收益率*15%,L,混合型,契约型开放式,,20210901,20210901,O,0
012036.OF,诺德兴远优选一年持有,诺德基金,兴业银行,混合型,20210601,,,20210506,,2.8998,1.5,0.25,,1.0,0.0001,,中债综合全价指数收益率*50%+沪深300指数收益率*45%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210702,20220601,O,0
012243.OF,东方红内需增长B,东证资管,招商银行,混合型,20210601,,,20210601,,,1.2,0.2,,1.0,,,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率(经汇率估值调整)*10%,L,混合型,契约型开放式,,20210601,20210601,O,0
910028.OF,东方红内需增长A,东证资管,招商银行,混合型,20210601,,,20210601,,,0.8,0.2,,1.0,,,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率(经汇率估值调整)*10%,L,混合型,契约型开放式,,,20210601,O,0
011761.OF,平安鑫瑞A,平安基金,中国邮政储蓄银行,混合型,20210601,,,20210329,,1.1611,0.6,0.16,,1.0,0.001,,中债综合指数(总财富)收益率*85%+沪深300指数收益率*15%,L,混合型,契约型开放式,,20210701,20210701,O,0
012371.OF,东财中证沪港深互联网A,西藏东财基金,广发证券,股票型,20210601,,,20210518,,0.9902,1.0,0.1,,1.0,0.0001,,中证沪港深互联网指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210628,20210628,O,0
012150.OF,诺德价值发现一年持有,诺德基金,中国光大银行,混合型,20210601,,,20210517,,9.7161,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65%+中债综合全价指数收益率*20%+恒生指数收益率*15%,L,混合型,契约型开放式,,20210702,20220601,O,0
010977.OF,华夏鸿阳6个月持有A,华夏基金,招商银行,混合型,20210601,,,20210517,,64.1349,1.2,0.2,,1.0,0.0001,,中证800指数收益率*50%+中债综合指数收益率*30%+经汇率调整的恒生指数收益率*20%,L,混合型,契约型开放式,,20210628,20211201,O,0
011346.OF,淳厚鑫淳一年持有,淳厚基金,兴业银行,混合型,20210601,,,20210517,,6.0588,1.5,0.25,,1.0,0.01,,中债综合全价(总值)指数收益率*50%+沪深300指数收益率*40%+经人民币汇率调整的中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20210708,20220601,O,0
012008.OF,易方达稳健回报A,易方达基金,浦发银行,混合型,20210531,,,20210519,,19.3398,1.2,0.2,,1.0,0.0001,,中债总指数收益率*60%+沪深300指数收益率*35%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,20220531,20220531,O,0
012218.OF,博时乐享A,博时基金,北京银行,混合型,20210528,,,20210517,,17.6014,0.6,0.2,,1.0,0.001,,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210827,20210827,O,0
012178.OF,银华富饶精选三年持有,银华基金,中国建设银行,混合型,20210528,,,20210512,,15.0843,1.2,0.2,,1.0,0.001,,中证800指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20210823,,O,0
011727.OF,工银聚瑞A,工银瑞信基金,中国邮政储蓄银行,混合型,20210528,,,20210423,,1.0024,0.5,0.1,,1.0,0.0001,,中债综合财富(总值)指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,20210607,20210607,O,0
011532.OF,工银聚丰A,工银瑞信基金,兴业银行,混合型,20210528,,,20210423,,1.0004,0.5,0.1,,1.0,0.0001,,中债综合财富(总值)指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,20210607,20210607,O,0
012056.OF,华商嘉悦平衡养老FOFA,华商基金,中国农业银行,混合型,20210528,,,20210506,,1.4856,0.6,0.15,,1.0,0.0001,,中证800指数收益率*50%+中债综合(全价)指数收益率*40%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210722,,O,0
011669.OF,长信优质企业A,长信基金,招商银行,混合型,20210528,,,20210512,,6.0424,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,20210728,20210729,O,0
011917.OF,山西证券品质生活A,山西证券,交通银行,混合型,20210527,,,20210510,,2.966,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*60%+恒生指数收益率(经汇率估值调整)*20%+中债综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,20210826,20210826,O,0
011866.OF,广发价值增长A,广发基金,中国工商银行,混合型,20210527,,,20210512,,33.925,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*50%+人民币计价的恒生指数收益率*30%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20210727,20210727,O,0
011647.OF,博时港股通红利精选A,博时基金,中信银行,混合型,20210527,,,20210226,,0.1375,1.2,0.2,,1.0,0.001,,中证港股通高股息投资指数(CNY)收益率*65%+中债综合财富(总值)指数收益率*20%+中证红利指数收益率*15%,L,混合型,契约型开放式,,20210827,20210827,O,0
012086.OF,博时健康生活A,博时基金,中国农业银行,混合型,20210526,,,20210422,,4.9729,1.2,0.2,,1.0,0.001,,中证800医药卫生指数收益率*60%+中证港股通综合指数收益率*20%+中债综合指数收益率*20%,L,混合型,契约型开放式,,20210826,20210826,O,0
010543.OF,中加科鑫A,中加基金,招商银行,混合型,20210526,,,20210412,,2.0096,0.8,0.2,,1.0,0.001,,中债总全价(总值)指数收益率*60%+沪深300指数收益率*40%,L,混合型,契约型开放式,,20210702,20210702,O,0
012126.OF,宏利新能源A,宏利基金,中国农业银行,股票型,20210526,,,20210506,,3.1783,1.5,0.25,,1.0,0.0001,,中证新能源指数收益率*75%+中证综合债券指数收益率*15%+中证港股通能源综合指数收益率(人民币)*10%,L,股票型,契约型开放式,,20210726,20210726,O,0
012200.OF,新华鑫科技3个月滚动持有A,新华基金,华夏银行,混合型,20210526,,,20210510,,5.1257,1.5,0.25,,1.0,0.0001,,中证科技100指数收益率*60%+中债综合指数(总财富)收益率*30%+恒生指数收益率*10%,L,灵活配置型,契约型开放式,,20210531,20210826,O,0
011845.OF,博时周期优选A,博时基金,招商银行,混合型,20210525,,,20210506,,2.2324,1.2,0.2,,1.0,0.001,,沪深300指数收益率*50%+中债综合财富(总值)指数收益率*30%+中证港股通综合指数(人民币)收益率*20%,L,混合型,契约型开放式,,20210825,20210825,O,0
011635.OF,富国港股通策略精选A,富国基金,中国工商银行,混合型,20210525,,,20210510,,10.609,1.2,0.2,,1.0,0.001,,恒生港股通指数收益率(经汇率调整后)*70%+中债综合全价指数收益率*20%+沪深300指数收益率*10%,L,混合型,契约型开放式,,20210726,20210726,O,0
012184.OF,大成创新趋势A,大成基金,中国农业银行,混合型,20210525,,,20210510,,12.8025,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*60%+中证综合债券指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,,20210726,20210726,O,0
012079.OF,信澳新能源精选,信达澳亚基金,中国建设银行,混合型,20210525,,,20210510,,5.4854,1.5,0.25,,1.0,0.001,,中证新能源汽车指数收益率*90%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210706,20210706,O,0
010163.OF,财通资管价值精选一年持有A,财通证券资管,兴业银行,混合型,20210525,,,20210224,,13.5421,1.2,0.2,,1.0,0.001,,沪深300指数收益率*70%+中债综合指数收益率*30%,L,混合型,契约型开放式,,20210825,20220525,O,0
010361.OF,嘉实品质优选A,嘉实基金,中国建设银行,股票型,20210525,,,20210319,,39.2919,1.2,0.2,,1.0,0.0001,,中证800指数收益率*60%+恒生指数收益率*20%+中债综合财富指数收益率*20%,L,股票型,契约型开放式,,20210824,20210824,O,0
011536.OF,惠升惠益A,惠升基金,渣打银行(中国),混合型,20210525,,,20210517,,1.0472,1.2,0.15,,1.0,0.0001,,中债综合全价指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,20210824,20210824,O,0
011853.OF,招商中证消费龙头指数增强A,招商基金,浙商银行,股票型,20210525,,,20210513,,8.0128,1.0,0.2,,1.0,0.0001,,中证消费龙头指数收益率*85%+恒生综合指数收益率(使用估值汇率折算)*10%+中国人民银行人民币活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20210825,20210825,O,0
011807.OF,平安研究精选A,平安基金,交通银行,混合型,20210525,,,20210419,,1.3701,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20210623,20210623,O,0
011717.OF,浦银安盛均衡优选6个月持有A,浦银安盛基金,交通银行,混合型,20210525,,,20210423,,4.7364,1.2,0.2,,1.0,,,沪深300指数收益率*70%+中证全债指数收益率*20%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,20210715,20211125,O,0
011132.OF,鹏扬沪深300质量低波A,鹏扬基金,中信建投证券,股票型,20210525,,,20210510,,2.1513,0.4,0.1,,1.0,0.001,,沪深300质量成长低波动指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210709,20210709,O,0
011908.OF,广发沪港深价值精选A,广发基金,中信银行,混合型,20210525,,,20210518,,12.8558,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*60%+人民币计价的恒生指数收益率*20%+中债新综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,20210726,20210726,O,0
011997.OF,景顺长城安盈回报一年持有A,景顺长城基金,中国农业银行,混合型,20210525,,,20210506,,5.0965,0.7,0.2,,1.0,0.0001,,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20210823,20220525,O,0
012107.OF,泓德瑞嘉三年持有A,泓德基金,平安银行,混合型,20210525,,,20210517,,13.0446,1.5,0.25,,1.0,0.01,,中证800指数收益率*70%+中国债券综合全价指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20210816,,O,0
011923.OF,大成消费精选A,大成基金,中国银行,股票型,20210524,,,20210426,,6.3417,1.2,0.2,,1.0,0.0001,,中证内地消费主题指数收益率*80%+恒生指数收益率*10%+中债综合指数收益率*10%,L,股票型,契约型开放式,,20210726,20210726,O,0
010938.OF,大摩招惠一年持有A,摩根士丹利基金,招商银行,混合型,20210524,,,20210419,,1.748,1.0,0.2,,1.0,0.1,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210823,20220524,O,0
011578.OF,汇丰晋信核心成长A,汇丰晋信基金,交通银行,混合型,20210524,,,20210506,,43.8119,1.5,0.25,,1.0,0.001,,中证800指数收益率*80%+同业存款利率*20%,L,混合型,契约型开放式,,20210628,20210628,O,0
011911.OF,华夏消费优选A,华夏基金,中国工商银行,混合型,20210521,,,20210506,,12.136,1.2,0.2,,1.0,0.0001,,中证内地消费主题指数收益率*60%+中证香港300主要消费人民币指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20210728,20210728,O,0
012161.OF,安信招信一年持有A,安信基金,招商银行,混合型,20210520,,,20210510,,4.433,0.6,0.15,,1.0,0.0001,,中债综合全价(总值)指数收益率*80%+沪深300指数收益率*12%+人民币活期存款利率(税后)*5%+恒生指数收益率*3%(经汇率调整),L,混合型,契约型开放式,,20210813,20220520,O,0
011458.OF,东方鑫享价值成长一年持有A,东方基金,兴业银行,混合型,20210519,,,20210406,,1.6624,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+中债综合全价指数收益率*30%+恒生指数收益率(使用估值汇率调整)*10%,L,混合型,契约型开放式,,20210621,20220520,O,0
012088.OF,东方红锦和甄选18个月持有A,东证资管,中国光大银行,混合型,20210519,,,20210507,,13.9135,0.8,0.2,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率估值调整)*5%,L,混合型,契约型开放式,,20221121,20221121,O,0
011874.OF,博时先进制造A,博时基金,宁波银行,混合型,20210519,,,20210405,,0.2633,1.2,0.2,,1.0,0.001,,中证智能制造主题指数收益率*70%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20210525,20210525,O,0
012362.OF,国泰中证全指证券公司ETF联接A,国泰基金,中国建设银行,股票型,20210519,,,20210517,,0.1016,0.5,0.1,,1.0,0.0001,,中证全指证券公司指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210524,20210524,O,0
011548.OF,九泰久慧A,九泰基金,浙商银行,混合型,20210519,,,20210315,,0.9115,1.0,0.2,,1.0,0.001,,中债总财富(总值)指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,20210621,20210621,O,0
011030.OF,达诚价值先锋A,达诚基金,兴业银行,混合型,20210519,,,20210506,,0.4606,1.2,0.2,,1.0,0.001,,沪深300指数收益率*45%+中债-国债及政策性银行债指数收益率*45%+恒生指数收益率(按估值汇率折算)*10%,L,灵活配置型,契约型开放式,,20210525,20210525,O,0
011811.OF,财通安华A,财通基金,华夏银行,混合型,20210519,,,20210506,,0.6002,0.6,0.1,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210618,20210618,O,0
011387.OF,工银宁瑞6个月持有A,工银瑞信基金,宁波银行,混合型,20210518,,,20210421,,18.5243,0.7,0.15,,1.0,0.0001,,中债综合指数收益率*85%+中证800指数收益率*10%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20210528,20211119,O,0
011599.OF,国联安匠心科技1个月滚动持有,国联安基金,中国银行,混合型,20210518,,,20210312,,2.118,1.5,0.25,,1.0,0.001,,沪深300指数*75%+上证国债指数*25%,L,混合型,契约型开放式,,20210618,20210618,O,0
011745.OF,华夏养老2055五年,华夏基金,兴业银行,混合型,20210518,,,20210419,,0.2295,0.9,0.2,,1.0,0.0001,,沪深300指数收益率*70%+中债综合(全价)指数收益率*30%,L,混合型,契约型开放式,,20210716,20260518,O,0
012029.OF,广发恒鑫一年持有A,广发基金,浦发银行,混合型,20210517,,,20210507,,40.0871,0.7,0.2,,1.0,0.0001,,中证全债指数收益率*85%+沪深300指数收益率*10%+人民币计价的恒生指数收益率*5%,L,混合型,契约型开放式,,20210617,20220517,O,0
011196.OF,摩根优势成长A,摩根基金,中国建设银行,混合型,20210514,,,20210426,,4.4992,1.5,0.25,,1.0,0.001,,中证800指数收益率*65%+中证港股通指数收益率*20%+上证国债指数收益率*15%,L,混合型,契约型开放式,,20210813,20210813,O,0
011315.OF,永赢港股通优质成长一年持有,永赢基金,中国银行,混合型,20210514,,,20210419,,5.4937,1.2,0.2,,1.0,0.001,,恒生指数收益率(经汇率调整后)*65%+中债-综合指数(全价)收益率*20%+沪深300指数收益率*15%,L,混合型,契约型开放式,,20210813,20220516,O,0
011353.OF,中融景盛一年持有A,国联基金,中国邮政储蓄银行,混合型,20210514,,,20210430,,35.9988,0.8,0.2,,1.0,0.0001,,中债综合指数(全价)收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210728,20220516,O,0
011468.OF,国富竞争优势三年持有A,国海富兰克林基金,招商银行,混合型,20210514,,,20210426,,14.4627,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中债综合指数收益率*30%+恒生指数收益率*20%,L,混合型,契约型开放式,,20210531,20240514,O,0
011570.OF,鹏华鑫远价值一年持有A,鹏华基金,兴业银行,混合型,20210514,,,20210426,,12.9297,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*60%+中证综合债指数收益率*30%+恒生指数收益率(经汇率调整)*10%,L,混合型,契约型开放式,,20210609,20220516,O,0
010320.OF,华安养老2040三年持有A,华安基金,中国农业银行,混合型,20210513,,,20210309,,0.964,0.6,0.2,,1.0,0.0001,,中证800指数收益率*50%+中债综合财富(总值)指数收益率*50%,L,混合型,契约型开放式,,20210813,,O,0
011013.OF,长城消费30A,长城基金,中国建设银行,股票型,20210511,,,20210415,,7.1763,1.5,0.25,,1.0,0.001,,中证内地消费主题指数收益率*75%+中债综合财富指数收益率*15%+恒生指数收益率(使用估值汇率折算)*10%,L,股票型,契约型开放式,,20210712,20210712,O,0
011418.OF,汇添富消费精选两年持有A,汇添富基金,中国工商银行,股票型,20210511,,,20210420,,71.5702,1.2,0.2,,1.0,0.001,,中证主要消费行业指数收益率*30%+中证可选消费行业指数收益率*30%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,L,股票型,契约型开放式,,20210811,20230511,O,0
011190.OF,招商瑞安1年持有A,招商基金,平安银行,混合型,20210510,,,20210426,,23.3416,1.0,0.15,,1.0,0.0001,,中债综合(全价)指数收益率*75%+沪深300指数收益率*20%+恒生综合指数收益率(经汇率调整后)*5%,L,混合型,契约型开放式,,20210601,20220510,O,0
011265.OF,长盛安泰一年持有A,长盛基金,中国银行,混合型,20210510,,,20210412,,5.9483,0.75,0.1,,1.0,0.0001,,中证综合债指数收益率*80%+中证800指数收益率*15%+恒生综合指数收益率*5%,L,混合型,契约型开放式,,20210806,20220510,O,0
011820.OF,兴业兴智一年持有A,兴业基金,交通银行,混合型,20210510,,,20210419,,23.5039,1.5,0.2,,1.0,0.0001,,沪深300指数收益率*75%+中债综合全价指数收益率*25%,L,混合型,契约型开放式,,20211110,20220510,O,0
011720.OF,易方达悦信一年持有A,易方达基金,中信银行,混合型,20210510,,,20210427,,55.283,0.6,0.15,,1.0,0.0001,,中债新综合指数(财富)收益率*85%+沪深300指数收益率*12%+中证港股通综合指数收益率*3%,L,混合型,契约型开放式,,20220509,20220509,O,0
011722.OF,前海开源深圳特区精选A,前海开源基金,中国农业银行,股票型,20210507,,,20210419,,4.3946,1.2,0.2,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率*20%+银行人民币活期存款利率(税后)*20%,L,股票型,契约型开放式,,20210607,20210607,O,0
010984.OF,国寿安保稳安A,国寿安保基金,中国邮政储蓄银行,混合型,20210507,,,20210406,,2.1158,0.6,0.2,,1.0,0.001,,中债综合(全价)指数收益率*80%+沪深300指数收益率*10%+恒生指数收益率*5%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210806,20210806,O,0
010998.OF,博道消费智航A,博道基金,中国光大银行,股票型,20210507,,,20210419,,5.9049,1.5,0.25,,1.0,0.001,,中信消费风格指数收益率*90%+同期银行活期存款利率(税后)*10%,L,股票型,契约型开放式,,20210806,20210806,O,0
008491.OF,万家周期优势企业A,万家基金,中国工商银行,混合型,20210507,,,20210507,,,1.5,0.25,,1.0,,,沪深300指数收益率*60%+上证国债指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,,20210507,20210507,O,0
011708.OF,中欧嘉益一年持有A,中欧基金,平安银行,混合型,20210507,,,20210419,,5.751,1.2,0.2,,1.0,0.0001,,中证800指数收益率*70%+银行活期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20210618,20220509,O,0
011316.OF,天弘创业板300ETF联接A,天弘基金,国泰君安,股票型,20210507,,,20210408,,0.0852,0.5,0.1,,1.0,0.001,,创业板300指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210601,20210601,O,0
010706.OF,景顺长城景骊成长,景顺长城基金,中国建设银行,混合型,20210507,,,20210419,,4.0182,1.5,0.25,,1.0,0.0001,,创业板综合指数收益率*75%+中国债券总指数收益率*25%,L,混合型,契约型开放式,,20210607,20210607,O,0
011987.OF,财通资管智选核心回报6个月持有A,财通证券资管,兴业银行,混合型,20210507,,,20210429,,0.1001,1.2,0.15,,1.0,0.001,,沪深300指数收益率*55%+中债综合指数收益率*45%,L,混合型,契约型开放式,,20210811,20211108,O,0
011557.OF,平安稳健养老一年A,平安基金,平安银行,混合型,20210507,,,20210309,,3.5779,0.6,0.12,,1.0,0.001,,中债综合全价指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210517,20220509,O,0
011995.OF,国泰诚益A,国泰基金,招商银行,混合型,20210507,,,20210419,,2.644,0.6,0.15,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20210804,20210804,O,0
011843.OF,民生加银内核驱动A,民生加银基金,交通银行,混合型,20210507,,,20210419,,7.6348,1.5,0.25,,1.0,0.001,,中证800指数收益率*60%+中债综合指数收益率*20%+恒生综合指数收益率(经汇率估值调整)*20%,L,混合型,契约型开放式,,20210806,20210806,O,0
011355.OF,华泰柏瑞港股通时代机遇A,华泰柏瑞基金,中国工商银行,混合型,20210507,,,20210412,,2.2249,1.5,0.25,,1.0,0.0001,,恒生指数收益率(使用估值汇率折算)*80%+沪深300指数收益率*15%+人民币银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210618,20210618,O,0
011765.OF,兴银高端制造A,兴银基金,兴业银行,混合型,20210506,,,20210412,,1.6893,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*65%+中债综合指数收益率*35%,L,混合型,契约型开放式,,20210622,20210622,O,0
860008.OF,光大阳光生活18个月持有A,光证资管,中国工商银行,混合型,20210506,,,20210506,,,1.2,0.25,,1.0,,,中证医药卫生指数收益率*30%+中债综合指数收益率*20%+中证港股通综合指数(人民币)收益率*20%+中证主要消费指数收益率*15%+中证可选消费指数收益率*15%,L,混合型,契约型开放式,,,20210506,O,0
011991.OF,汇安泓利一年持有A,汇安基金,中国光大银行,混合型,20210506,,,20210415,,6.4603,1.0,0.2,,1.0,0.0001,,中债综合财富指数收益率*85%+沪深300指数收益率*12.5%+恒生指数收益率*2.5%,L,混合型,契约型开放式,,20210607,20220506,O,0
011801.OF,中银证券盈瑞A,中银证券,中国农业银行,混合型,20210506,,,20210407,,3.731,0.6,0.2,,1.0,0.001,,中债综合全价指数收益率*75%+中证800指数收益率*20%+同期银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210709,20210709,O,0
011583.OF,大成港股精选A,大成基金,中国工商银行,混合型,20210506,,,20210415,,4.1703,1.5,0.25,,1.0,0.0001,,恒生指数收益率(使用估值汇率折算)*70%+中证综合债指数收益率*30%,L,混合型,契约型开放式,,20210618,20210618,O,0
010869.OF,汇添富稳健欣享一年持有,汇添富基金,交通银行,混合型,20210430,,,20210408,,16.5997,0.6,0.1,,1.0,0.001,,中债综合指数收益率*80%+MSCI中国A50互联互通指数收益率*15%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20210727,20220505,O,0
011971.OF,东财中证银行A,西藏东财基金,兴业银行,股票型,20210430,,,20210422,,0.5354,0.5,0.05,,1.0,0.0001,,中证银行指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210528,20210528,O,0
011769.OF,富国精诚回报12个月持有A,富国基金,上海银行,混合型,20210430,,,20210415,,54.6489,0.8,0.15,,1.0,0.001,,中债综合财富(总值)指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(使用汇率估值折算)*5%,L,混合型,契约型开放式,,20211220,20220505,O,0
011198.OF,交银鑫选回报A,交银施罗德基金,中国邮政储蓄银行,混合型,20210429,,,20210315,,2.4008,0.6,0.1,,1.0,0.0001,,中证综合债券指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210510,20210510,O,0
011296.OF,汇添富优势行业一年定开A,汇添富基金,北京银行,混合型,20210429,,,20210419,,20.2705,1.2,0.2,,1.0,0.001,,沪深300指数收益率*50%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*20%,L,混合型,契约型开放式,,20220429,20220429,O,0
011927.OF,博时汇誉回报A,博时基金,中国建设银行,混合型,20210429,,,20210421,,2.5109,1.2,0.2,,1.0,0.001,,沪深300指数收益率*45%+中债综合财富(总值)指数收益率*40%+中证港股通综合指数收益率*15%,L,灵活配置型,契约型开放式,,20210729,20210729,O,0
010373.OF,西部利得聚兴一年定开A,西部利得基金,中国光大银行,混合型,20210429,,,20210322,,1.7078,0.8,0.2,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20220429,20220429,O,0
012116.OF,中银证券创业板ETF联接A,中银证券,中国工商银行,股票型,20210429,,,20210423,,0.108,0.15,0.05,,1.0,0.001,,创业板指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210602,20210602,O,0
011746.OF,南方誉浦一年持有A,南方基金,浦发银行,混合型,20210429,,,20210417,,25.8566,0.7,0.2,,1.0,0.0001,,中债综合指数收益率*85%+中证800指数收益率*10%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20210727,20220429,O,0
011733.OF,银华瑞祥一年持有,银华基金,中国农业银行,混合型,20210429,,,20210416,,7.5142,1.2,0.2,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20210726,20220429,O,0
010987.OF,中融鑫锐研究精选一年持有A,国联基金,兴业银行,混合型,20210429,,,20210324,,1.7218,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65%+中债综合指数收益率*25%+恒生指数收益率*10%,L,混合型,契约型开放式,,20210629,20220429,O,0
010919.OF,鹏华招润一年持有A,鹏华基金,招商银行,混合型,20210429,,,20210407,,5.0371,0.6,0.15,,1.0,0.001,,中证综合债指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率*5%(经汇率估值调整),L,混合型,契约型开放式,,20210728,20220429,O,0
010834.OF,国泰同益18个月持有A,国泰基金,招商银行,混合型,20210428,,,20210406,,1.3486,1.0,0.2,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20210607,20221031,O,0
